CLAIM_NUMBER,POLICY,RISK_STATE,DATE_OF_LOSS,NOTICE_DATE,AMOUNT,DATE,COMPANY,TYPE,COVERAGE,ACCIDENT_STATE,ACCIDENT_COMMENTS,MONTH_YEAR,DAYS_TO_NOTICE,COMPANY_NORMALIZED
CLM10001,UKQ55567963,TX,2020-01-17,2020-01-21,25000.0,2020-01-22,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,WY,IV SLID ON ICE INTO A TRAILER,2020-01-01,4,WORLD SPECIALTY INSURANCE CO
CLM10001,UKQ55567963,TX,2020-01-17,2020-01-21,5000.0,2020-01-29,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,WY,IV SLID ON ICE INTO A TRAILER,2020-01-01,4,WORLD SPECIALTY INSURANCE CO
CLM10001,UKQ55567963,TX,2020-01-17,2020-01-21,5000.0,2020-02-19,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,WY,IV SLID ON ICE INTO A TRAILER,2020-02-01,4,WORLD SPECIALTY INSURANCE CO
CLM10001,UKQ55567963,TX,2020-01-17,2020-01-21,-18525.0,2020-02-20,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,WY,IV SLID ON ICE INTO A TRAILER,2020-02-01,4,WORLD SPECIALTY INSURANCE CO
CLM10001,UKQ55567963,TX,2020-01-17,2020-01-21,6475.0,2020-02-20,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,WY,IV SLID ON ICE INTO A TRAILER,2020-02-01,4,WORLD SPECIALTY INSURANCE CO
CLM10002,SHJ62438044,IL,2020-02-07,2020-02-19,25000.0,2020-02-20,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,TX,CARGO LOAD REJECTED DUE TO LOAD NOT TARPED,2020-02-01,12,WORLD SPECIALTY INSURANCE CO
CLM10002,SHJ62438044,IL,2020-02-07,2020-02-19,-25000.0,2020-05-08,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,TX,CARGO LOAD REJECTED DUE TO LOAD NOT TARPED,2020-05-01,12,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,4425.0,2020-02-21,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-02-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,4425.0,2020-02-21,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-02-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,15000.0,2020-02-24,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-02-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,1500.0,2020-03-18,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-03-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,1217.85,2020-04-17,WORLD SPECIALTY INSURANCE CO,EXPENSE-PAID,357-Adjusting Expenses,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-04-01,0,WORLD SPECIALTY INSURANCE CO
