COMPANY,ACCIDENT_STATE,TOTAL_CLAIMED_AMOUNT
WORLD SPECIALTY INSURANCE CO,0,293299.78
WORLD SPECIALTY INSURANCE CO,AL,2496029.36
WORLD SPECIALTY INSURANCE CO,AR,1143335.31
WORLD SPECIALTY INSURANCE CO,AR ,250905.75
WORLD SPECIALTY INSURANCE CO,AZ,3704965.92
WORLD SPECIALTY INSURANCE CO,CA,9328496.81
WORLD SPECIALTY INSURANCE CO,CO,927391.42
WORLD SPECIALTY INSURANCE CO,CO ,529986.33
WORLD SPECIALTY INSURANCE CO,CT,374648.1
WORLD SPECIALTY INSURANCE CO,CT ,42195.3
WORLD SPECIALTY INSURANCE CO,FL,2577632.35
WORLD SPECIALTY INSURANCE CO,FL ,40748.47
WORLD SPECIALTY INSURANCE CO,GA,1956950.16
WORLD SPECIALTY INSURANCE CO,GA ,419241.18
WORLD SPECIALTY INSURANCE CO,Georgia,54301.82
WORLD SPECIALTY INSURANCE CO,IA,711740.34
WORLD SPECIALTY INSURANCE CO,ID,97139.6
WORLD SPECIALTY INSURANCE CO,ID ,17357.06
WORLD SPECIALTY INSURANCE CO,IL,3388797.27
WORLD SPECIALTY INSURANCE CO,IN,2902832.98
WORLD SPECIALTY INSURANCE CO,IN ,264546.3
WORLD SPECIALTY INSURANCE CO,KS,1103457.13
WORLD SPECIALTY INSURANCE CO,KY,1618843.48
WORLD SPECIALTY INSURANCE CO,KY ,42207.75
WORLD SPECIALTY INSURANCE CO,LA,1326965.33
WORLD SPECIALTY INSURANCE CO,LA ,15000.0
WORLD SPECIALTY INSURANCE CO,MA,503385.01
WORLD SPECIALTY INSURANCE CO,MA ,16816.08
WORLD SPECIALTY INSURANCE CO,MD,862750.47
WORLD SPECIALTY INSURANCE CO,ME,193027.94
WORLD SPECIALTY INSURANCE CO,MI,616844.91
WORLD SPECIALTY INSURANCE CO,MN,864047.21
WORLD SPECIALTY INSURANCE CO,MO,2556892.65
WORLD SPECIALTY INSURANCE CO,MO ,262319.45
WORLD SPECIALTY INSURANCE CO,MS,749702.51
WORLD SPECIALTY INSURANCE CO,MS ,41153.95
WORLD SPECIALTY INSURANCE CO,MT,350572.13
WORLD SPECIALTY INSURANCE CO,NC,1412824.08
WORLD SPECIALTY INSURANCE CO,NC ,165006.22
WORLD SPECIALTY INSURANCE CO,ND,284749.0
WORLD SPECIALTY INSURANCE CO,NE,1081148.9
WORLD SPECIALTY INSURANCE CO,NE ,107095.86
WORLD SPECIALTY INSURANCE CO,NH,52500.0
WORLD SPECIALTY INSURANCE CO,NJ,1200169.83
WORLD SPECIALTY INSURANCE CO,NJ ,127734.0
WORLD SPECIALTY INSURANCE CO,NM,2919007.78
WORLD SPECIALTY INSURANCE CO,NM ,75253.7
WORLD SPECIALTY INSURANCE CO,NV,1334136.81
WORLD SPECIALTY INSURANCE CO,NY,1587278.36
WORLD SPECIALTY INSURANCE CO,OH,2485999.44
WORLD SPECIALTY INSURANCE CO,OH ,170783.15
WORLD SPECIALTY INSURANCE CO,OK,1743803.72
WORLD SPECIALTY INSURANCE CO,OK ,66574.76
WORLD SPECIALTY INSURANCE CO,OR,1289896.78
WORLD SPECIALTY INSURANCE CO,OR ,117502.5
WORLD SPECIALTY INSURANCE CO,PA,3444413.39
WORLD SPECIALTY INSURANCE CO,PA ,74626.66
WORLD SPECIALTY INSURANCE CO,RI,17500.0
WORLD SPECIALTY INSURANCE CO,SC,703852.9
WORLD SPECIALTY INSURANCE CO,TN,3173388.1
WORLD SPECIALTY INSURANCE CO,TN ,129926.39
WORLD SPECIALTY INSURANCE CO,TX,9004712.3
WORLD SPECIALTY INSURANCE CO,TX ,452533.64
WORLD SPECIALTY INSURANCE CO,UT,1347112.94
WORLD SPECIALTY INSURANCE CO,UT ,92944.81
WORLD SPECIALTY INSURANCE CO,VA,2227512.07
WORLD SPECIALTY INSURANCE CO,WA,1319163.38
WORLD SPECIALTY INSURANCE CO,WI,286769.84
WORLD SPECIALTY INSURANCE CO,WI ,54714.57
WORLD SPECIALTY INSURANCE CO,WV,548533.3
WORLD SPECIALTY INSURANCE CO,WY,2008315.09
WORLD SPECIALTY INSURANCE COMPANY,AL,880894.12
WORLD SPECIALTY INSURANCE COMPANY,AR,604738.89
WORLD SPECIALTY INSURANCE COMPANY,AZ,922798.53
WORLD SPECIALTY INSURANCE COMPANY,CA,4649744.98
WORLD SPECIALTY INSURANCE COMPANY,CO,984644.8
WORLD SPECIALTY INSURANCE COMPANY,CT,120000.0
WORLD SPECIALTY INSURANCE COMPANY,DE,26517.66
WORLD SPECIALTY INSURANCE COMPANY,FL,1428120.38
WORLD SPECIALTY INSURANCE COMPANY,GA,1417591.26
WORLD SPECIALTY INSURANCE COMPANY,IA,387528.19
WORLD SPECIALTY INSURANCE COMPANY,ID,363482.42
WORLD SPECIALTY INSURANCE COMPANY,IL,1635876.8
WORLD SPECIALTY INSURANCE COMPANY,IN,1540912.53
WORLD SPECIALTY INSURANCE COMPANY,KS,469181.0
WORLD SPECIALTY INSURANCE COMPANY,KY,590890.78
WORLD SPECIALTY INSURANCE COMPANY,LA,512364.7
WORLD SPECIALTY INSURANCE COMPANY,MA,324995.02999999997
WORLD SPECIALTY INSURANCE COMPANY,MD,585295.87
WORLD SPECIALTY INSURANCE COMPANY,ME,315153.86
WORLD SPECIALTY INSURANCE COMPANY,MI,210000.0
WORLD SPECIALTY INSURANCE COMPANY,MN,40000.0
WORLD SPECIALTY INSURANCE COMPANY,MO,1350516.68
WORLD SPECIALTY INSURANCE COMPANY,MS,148220.85
WORLD SPECIALTY INSURANCE COMPANY,MT,228710.52
WORLD SPECIALTY INSURANCE COMPANY,NC,1185591.41
WORLD SPECIALTY INSURANCE COMPANY,ND,70000.0
WORLD SPECIALTY INSURANCE COMPANY,NE,1024584.14
WORLD SPECIALTY INSURANCE COMPANY,NH,195460.36
WORLD SPECIALTY INSURANCE COMPANY,NJ,1234905.7
WORLD SPECIALTY INSURANCE COMPANY,NM,1702691.74
WORLD SPECIALTY INSURANCE COMPANY,NV,442820.81
WORLD SPECIALTY INSURANCE COMPANY,NY,1251235.41
WORLD SPECIALTY INSURANCE COMPANY,OH,1229472.66
WORLD SPECIALTY INSURANCE COMPANY,OK,975362.11
WORLD SPECIALTY INSURANCE COMPANY,OR,359059.2
WORLD SPECIALTY INSURANCE COMPANY,PA,2010564.34
WORLD SPECIALTY INSURANCE COMPANY,RI,17500.0
WORLD SPECIALTY INSURANCE COMPANY,SC,377879.04
WORLD SPECIALTY INSURANCE COMPANY,SD,24000.0
WORLD SPECIALTY INSURANCE COMPANY,TN,739967.61
WORLD SPECIALTY INSURANCE COMPANY,TX,6782104.04
WORLD SPECIALTY INSURANCE COMPANY,UT,792360.17
WORLD SPECIALTY INSURANCE COMPANY,VA,1313698.16
WORLD SPECIALTY INSURANCE COMPANY,VT,17500.0
WORLD SPECIALTY INSURANCE COMPANY,WA,201982.75
WORLD SPECIALTY INSURANCE COMPANY,WI,277500.0
WORLD SPECIALTY INSURANCE COMPANY,WV,454853.04
WORLD SPECIALTY INSURANCE COMPANY,WY,377500.0
