CLAIM_ID,ERROR_REASON
CLM10001,Invalid Amount
CLM10002,Invalid Amount
CLM10003,Invalid Amount
CLM10003,Invalid Amount
CLM10003,Invalid Amount
CLM10003,Invalid Amount
CLM10004,Invalid Amount
CLM10004,Invalid Amount
CLM10004,Invalid Amount
CLM10004,Invalid Amount
CLM10005,Invalid Amount
CLM10006,Invalid Amount
CLM10006,Invalid Amount
CLM10006,Invalid Amount
CLM10006,Invalid Amount
CLM10006,Invalid Amount
CLM10007,Invalid Amount
CLM10007,Invalid Amount
CLM10007,Invalid Amount
CLM10008,Invalid Amount
CLM10008,Invalid Amount
CLM10008,Invalid Amount
CLM10009,Invalid Amount
CLM10009,Invalid Amount
CLM10009,Invalid Amount
CLM10009,Invalid Amount
CLM10009,Invalid Amount
CLM10009,Invalid Amount
CLM10010,Invalid Amount
CLM10011,Invalid Amount
CLM10012,Invalid Amount
CLM10012,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10013,Invalid Amount
CLM10014,Invalid Amount
CLM10014,Invalid Amount
CLM10015,Invalid Amount
CLM10015,Invalid Amount
CLM10015,Invalid Amount
CLM10015,Invalid Amount
CLM10016,Invalid Amount
CLM10016,Invalid Amount
CLM10016,Invalid Amount
CLM10016,Invalid Amount
CLM10017,Invalid Amount
CLM10017,Invalid Amount
CLM10017,Invalid Amount
CLM10017,Invalid Amount
CLM10018,Invalid Amount
CLM10018,Invalid Amount
CLM10018,Invalid Amount
CLM10019,Invalid Amount
CLM10019,Invalid Amount
CLM10020,Invalid Amount
CLM10020,Invalid Amount
CLM10020,Invalid Amount
CLM10020,Invalid Amount
CLM10021,Invalid Amount
CLM10021,Invalid Amount
CLM10021,Invalid Amount
CLM10022,Invalid Amount
CLM10023,Invalid Amount
CLM10023,Invalid Amount
CLM10023,Invalid Amount
CLM10023,Invalid Amount
CLM10023,Invalid Amount
CLM10024,Invalid Amount
CLM10025,Invalid Amount
CLM10025,Invalid Amount
CLM10025,Invalid Amount
CLM10026,Invalid Amount
CLM10026,Invalid Amount
CLM10026,Invalid Amount
CLM10026,Invalid Amount
CLM10026,Invalid Amount
CLM10027,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10028,Invalid Amount
CLM10029,Invalid Amount
CLM10029,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10030,Invalid Amount
CLM10031,Invalid Amount
CLM10031,Invalid Amount
CLM10031,Invalid Amount
CLM10032,Invalid Amount
CLM10032,Invalid Amount
CLM10033,Invalid Amount
CLM10033,Invalid Amount
CLM10034,Invalid Amount
CLM10035,Invalid Amount
CLM10035,Invalid Amount
CLM10035,Invalid Amount
CLM10036,Invalid Amount
CLM10036,Invalid Amount
CLM10037,Invalid Amount
CLM10037,Invalid Amount
CLM10037,Invalid Amount
CLM10038,Invalid Amount
CLM10038,Invalid Amount
CLM10038,Invalid Amount
CLM10038,Invalid Amount
CLM10038,Invalid Amount
CLM10038,Invalid Amount
CLM10038,Invalid Amount
CLM10039,Invalid Amount
CLM10039,Invalid Amount
CLM10039,Invalid Amount
CLM10039,Invalid Amount
CLM10039,Invalid Amount
CLM10040,Invalid Amount
CLM10041,Invalid Amount
CLM10041,Invalid Amount
CLM10042,Invalid Amount
CLM10043,Invalid Amount
CLM10043,Invalid Amount
CLM10044,Invalid Amount
CLM10044,Invalid Amount
CLM10044,Invalid Amount
CLM10044,Invalid Amount
CLM10044,Invalid Amount
CLM10045,Invalid Amount
CLM10045,Invalid Amount
CLM10045,Invalid Amount
CLM10046,Invalid Amount
CLM10046,Invalid Amount
CLM10047,Invalid Amount
CLM10047,Invalid Amount
CLM10047,Invalid Amount
CLM10047,Invalid Amount
CLM10048,Invalid Amount
CLM10048,Invalid Amount
CLM10049,Invalid Amount
CLM10049,Invalid Amount
CLM10050,Invalid Amount
CLM10050,Invalid Amount
CLM10051,Invalid Amount
CLM10051,Invalid Amount
CLM10051,Invalid Amount
CLM10051,Invalid Amount
CLM10051,Invalid Amount
CLM10052,Invalid Amount
CLM10052,Invalid Amount
CLM10052,Invalid Amount
CLM10052,Invalid Amount
CLM10052,Invalid Amount
CLM10053,Invalid Amount
CLM10054,Invalid Amount
CLM10055,Invalid Amount
CLM10055,Invalid Amount
CLM10056,Invalid Amount
CLM10056,Invalid Amount
CLM10056,Invalid Amount
CLM10056,Invalid Amount
CLM10056,Invalid Amount
CLM10056,Invalid Amount
CLM10056,Invalid Amount
CLM10057,Invalid Amount
CLM10058,Invalid Amount
CLM10058,Invalid Amount
CLM10059,Invalid Amount
CLM10059,Invalid Amount
CLM10059,Invalid Amount
CLM10059,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10060,Invalid Amount
CLM10061,Invalid Amount
CLM10061,Invalid Amount
CLM10061,Invalid Amount
CLM10061,Invalid Amount
CLM10062,Invalid Amount
CLM10062,Invalid Amount
CLM10062,Invalid Amount
CLM10062,Invalid Amount
CLM10063,Invalid Amount
CLM10063,Invalid Amount
CLM10064,Invalid Amount
CLM10064,Invalid Amount
CLM10065,Invalid Amount
CLM10066,Invalid Amount
CLM10067,Invalid Amount
CLM10067,Invalid Amount
CLM10067,Invalid Amount
CLM10067,Invalid Amount
CLM10068,Invalid Amount
CLM10069,Invalid Amount
CLM10069,Invalid Amount
CLM10070,Invalid Amount
CLM10070,Invalid Amount
CLM10071,Invalid Amount
CLM10071,Invalid Amount
CLM10071,Invalid Amount
CLM10072,Invalid Amount
CLM10072,Invalid Amount
CLM10072,Invalid Amount
CLM10072,Invalid Amount
CLM10072,Invalid Amount
CLM10072,Invalid Amount
CLM10073,Invalid Amount
CLM10073,Invalid Amount
CLM10074,Invalid Amount
CLM10074,Invalid Amount
CLM10074,Invalid Amount
CLM10075,Invalid Amount
CLM10075,Invalid Amount
CLM10075,Invalid Amount
CLM10075,Invalid Amount
CLM10076,Invalid Amount
CLM10077,Invalid Amount
