DATE,AMOUNT,COMPANY,ACCIDENT_STATE,CLAIM_ID,POLICY,TYPE,COVERAGE,DAYS_TO_NOTICE,MONTH_YEAR,COMPANY_NORMALIZED
2020-01-22,25000.0,WORLD SPECIALTY INSURANCE CO,WY,CLM10001,UKQ55567963,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,4,2020-01,WORLD SPECIALTY INSURANCE CO
2020-01-29,5000.0,WORLD SPECIALTY INSURANCE CO,WY,CLM10001,UKQ55567963,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,4,2020-01,WORLD SPECIALTY INSURANCE CO
2020-02-19,5000.0,WORLD SPECIALTY INSURANCE CO,WY,CLM10001,UKQ55567963,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,4,2020-02,WORLD SPECIALTY INSURANCE CO
2020-02-20,6475.0,WORLD SPECIALTY INSURANCE CO,WY,CLM10001,UKQ55567963,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,4,2020-02,WORLD SPECIALTY INSURANCE CO
2020-02-20,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10002,SHJ62438044,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,12,2020-02,WORLD SPECIALTY INSURANCE CO
2020-02-21,4425.0,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,0,2020-02,WORLD SPECIALTY INSURANCE CO
2020-02-21,4425.0,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,0,2020-02,WORLD SPECIALTY INSURANCE CO
2020-02-24,15000.0,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,0,2020-02,WORLD SPECIALTY INSURANCE CO
2020-03-18,1500.0,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,START-EXP-RSV,357-Adjusting Expenses,0,2020-03,WORLD SPECIALTY INSURANCE CO
2020-04-17,1217.85,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,EXPENSE-PAID,357-Adjusting Expenses,0,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-27,8400.0,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,0,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-30,2500.0,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,DED-RECV,551-INDIA MARINE - PRIMARY/REEFER,0,2020-04,WORLD SPECIALTY INSURANCE CO
2020-05-07,2955.48,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,SAL-RECV,551-INDIA MARINE - PRIMARY/REEFER,0,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-07,517.21,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,EXPENSE-PAID,357-Adjusting Expenses,0,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-07,517.21,WORLD SPECIALTY INSURANCE CO,UT,CLM10003,SHJ62438045,RSV-EXP-CHG,357-Adjusting Expenses,0,2020-05,WORLD SPECIALTY INSURANCE CO
2020-02-25,10000.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,8,2020-02,WORLD SPECIALTY INSURANCE CO
2020-03-27,5000.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,8,2020-03,WORLD SPECIALTY INSURANCE CO
2020-04-01,2500.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,8,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-02,2500.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,8,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-02,2500.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,8,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-16,2500.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,DED-RECV,558-INDIA MARINE - STORAGE & RECOVERY,8,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-21,18000.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,8,2020-04,WORLD SPECIALTY INSURANCE CO
2020-05-06,26447.28,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,8,2020-05,WORLD SPECIALTY INSURANCE CO
2020-06-08,1793.75,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,EXPENSE-PAID,357-Adjusting Expenses,8,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-08,1793.75,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,START-EXP-RSV,357-Adjusting Expenses,8,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-08,10250.0,WORLD SPECIALTY INSURANCE CO,MT,CLM10004,PIC46082878,SAL-RECV,551-INDIA MARINE - PRIMARY/REEFER,8,2020-06,WORLD SPECIALTY INSURANCE CO
2020-02-28,10000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10005,PIC46082878,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,24,2020-02,WORLD SPECIALTY INSURANCE CO
2020-03-10,85000.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-12,1000.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,START-EXP-RSV,357-Adjusting Expenses,3,2020-03,WORLD SPECIALTY INSURANCE CO
